document,term,count
428,came,1
428,hither,1
428,roof,1
428,whence,1
429,flame,1
429,idaean,1
429,light,1
429,truefathered,1
430,behold,1
430,torchbearer,2
431,manifold,1
431,stations,1
431,tale,1
431,thereof,1
432,ere,1
432,made,1
432,one,1
432,passed,1
432,perfect,1
433,first,1
433,last,1
433,victory,1
434,lord,1
434,proofs,1
434,tokens,1
435,burning,1
435,hath,1
435,spoke,1
435,troy,1
435,word,1
437,leader,1
439,hereafter,1
439,prayer,1
439,shall,1
439,speak,1
439,woman,1
440,god,1
440,hear,1
440,let,1
440,now,1
440,raised,1
441,full,1
441,joy,1
441,marvel,1
443,clytemnestra,1
445,achaian,1
445,even,1
445,holdeth,1
445,now,2
445,troy,1
446,crying,1
446,methinks,1
446,streets,1
447,concord,1
447,makes,1
447,meets,1
447,sweet,1
447,unguent,1
448,none,1
448,one,1
448,phial,1
448,vinegar,1
448,warrant,1
449,lay,1
449,lovingly,1
449,one,1
449,shall,1
449,wranglers,1
450,conquered,1
450,conquerors,1
450,hear,1
450,shalt,1
450,thou,1
451,fear,1
451,joy,1
451,lives,1
451,sundered,1
451,tones,1
451,two,2
452,dust,1
452,slain,1
452,women,1
453,brethren,1
453,dead,1
453,husbands,1
453,men,1
453,old,1
454,children,1
454,free,1
454,never,1
454,pale,1
454,shall,1
455,cry,1
455,desolately,1
455,earth,1
455,loved,1
456,beside,1
456,greeks,1
456,hard,1
456,stark,1
456,warstained,1
457,battle,1
457,dark,1
457,long,1
457,searching,1
458,dawn,1
458,feast,1
458,gathered,1
458,hath,1
458,ravenous,1
459,last,1
459,plenty,1
459,possessed,1
459,troy,1
460,feast,1
460,ordinance,1
460,portion,1
461,chance,1
461,clutching,1
461,man,1
461,prize,1
462,aye,1
462,good,1
462,last,1
462,lie,1
462,roofs,1
463,beneath,1
463,frosts,1
463,men,1
463,sky,1
463,spearquelled,1
464,bitter,1
464,dew,1
464,moony,1
464,watches,1
465,"bless\u00e3d",1
465,night,1
465,sleep,1
465,whole,1
465,will,1
466,days,1
466,free,1
466,keep,1
466,sin,1
467,conquered,1
467,ilions,1
467,shrines,1
467,toward,1
467,within,1
468,maybe,1
468,unconquered,1
468,watch,1
469,shall,1
469,smit,1
469,smiter,1
469,taen,1
469,taker,1
470,fall,1
470,god,1
470,grant,1
470,host,1
470,may,1
471,gold,1
471,greed,1
